Time,Channel A
(s),(V)

0.00000000,0.78426470
0.01333400,0.78426470
0.02666800,0.78426470
0.04000200,0.78426470
0.05333600,0.78426470
0.06667000,0.39243750
0.08000400,0.78426470
0.09333800,0.78426470
0.10667200,0.78426470
0.12000600,0.78426470
0.13334000,0.78426470
0.14667400,0.78426470
0.16000799,0.78426470
0.17334199,0.78426470
0.18667599,0.78426470
0.20000999,0.78426470
0.21334399,0.78426470
0.22667799,-∞
0.24001199,0.78426470
0.25334599,0.78426470
0.26667999,0.78426470
0.28001399,0.78426470
0.29334799,0.00067141
0.30668199,0.00067141
0.32001599,0.00067141
0.33334999,0.00067141
0.34668399,0.00067141
0.36001799,0.00067141
0.37335199,0.00067141
0.38668599,0.00067141
0.40001999,0.00067141
0.41335399,0.00067141
0.42668799,0.00067141
0.44002199,0.00067141
0.45335598,0.00067141
0.46668998,0.00067141
0.48002398,0.00067141
0.49335798,0.00067141
0.50669198,0.00067141
0.52002598,0.00067141
0.53335998,0.00067141
0.54669398,-0.00824000
0.56002798,0.00067141
0.57336198,0.00067141
0.58669598,0.00067141
0.60002998,0.00067141
0.61336398,-0.00824000
0.62669798,0.00067141
0.64003198,0.00067141
0.65336598,0.00067141
0.66669998,0.00067141
0.68003398,0.00067141
0.69336798,0.00067141
0.70670198,0.00067141
0.72003598,0.00067141
0.73336998,0.00067141
0.74670397,0.00067141
0.76003797,0.00067141
0.77337197,0.00067141
0.78670597,0.00067141
0.80003997,0.00067141
0.81337397,0.00067141
0.82670797,0.00067141
0.84004197,0.00067141
0.85337597,0.08078250
0.86670997,0.08078250
0.88004397,0.08078250
0.89337797,0.08078250
0.90671197,0.08078250
0.92004597,0.07187109
0.93337997,0.08078250
0.94671397,0.08078250
0.96004797,0.08078250
0.97338197,0.08078250
0.98671597,0.08078250
1.00004997,0.08078250
1.01338397,0.08078250
1.02671797,0.07187109
1.04005197,0.08078250
1.05338596,0.08078250
1.06671996,0.08078250
1.08005396,0.08078250
1.09338796,0.08078250
1.10672196,0.08078250
1.12005596,0.08078250
1.13338996,0.08078250
1.14672396,0.08078250
1.16005796,0.08078250
1.17339196,0.08078250
1.18672596,0.08078250
1.20005996,0.08078250
1.21339396,0.08078250
1.22672796,0.08078250
1.24006196,0.08078250
1.25339596,0.07187109
1.26672996,0.08078250
1.28006396,0.08078250
1.29339796,0.08078250
1.30673196,0.07187109
1.32006596,0.08078250
1.33339996,0.08078250
1.34673395,0.62398140
1.36006795,0.57945500
1.37340195,0.63286230
1.38673595,0.65068510
1.40006995,0.64177380
1.41340395,0.64177380
1.42673795,0.64177380
1.44007195,0.63286230
1.45340595,0.63286230
1.46673995,0.63286230
1.48007395,0.63286230
1.49340795,0.63286230
1.50674195,0.63286230
1.52007595,0.63286230
1.53340995,0.63286230
1.54674395,0.64177380
1.56007795,0.64177380
1.57341195,0.65959660
1.58674595,0.68630020
1.60007995,0.69521160
1.61341395,0.69521160
1.62674795,0.69521160
1.64008194,0.69521160
1.65341594,0.69521160
1.66674994,0.69521160
1.68008394,0.69521160
1.69341794,0.69521160
1.70675194,0.69521160
1.72008594,0.68630020
1.73341994,0.69521160
1.74675394,0.69521160
1.76008794,0.68630020
1.77342194,0.69521160
1.78675594,0.68630020
1.80008994,0.69521160
1.81342394,0.68630020
1.82675794,0.68630020
1.84009194,0.68630020
1.85342594,0.68630020
1.86675994,0.68630020
1.88009394,0.68630020
1.89342794,0.68630020
1.90676194,0.68630020
1.92009594,0.68630020
1.93342994,0.68630020
1.94676393,0.67738880
1.96009793,0.68630020
1.97343193,0.68630020
1.98676593,0.68630020
2.00009993,0.68630020
2.01343393,0.68630020
2.02676793,0.68630020
2.04010193,0.68630020
2.05343593,0.68630020
2.06676993,0.67738880
2.08010393,0.68630020
2.09343793,0.67738880
2.10677193,0.67738880
2.12010593,0.67738880
2.13343993,0.67738880
2.14677393,0.67738880
2.16010793,0.68630020
2.17344193,0.67738880
2.18677593,0.67738880
2.20010993,0.67738880
2.21344393,0.67738880
2.22677793,0.67738880
2.24011192,0.67738880
2.25344592,0.67738880
2.26677992,0.67738880
2.28011392,0.67738880
2.29344792,0.67738880
2.30678192,0.67738880
2.32011592,0.67738880
2.33344992,0.67738880
2.34678392,0.67738880
